X,Y,FID,OPS_PLAN_I,INCIDENT_N,PLAN_NAME,INCIDENTNU,INCIDENTNA,REGION,DISTRICT,RESERVE,FINANCIALY,SEASON,OBJECTIVE_,TREATED_AR,AREA_DRAWN,UNBOUNDED,OPERATIONS,OPS_STATUS,PUBLIC_INF,INCIDENT_C,FIREYEAR,GLOBALID,Shape_Leng,Shape_Area
138.702487591516,-35.0449387461752,38,1044,621,Ops Plan 2,621,Ironbank - Morgan Road (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Council and Private Land,2019/2020,AUTUMN,4.5,4.5,4.1,0,JSAERS,Post Burn Activities Completed,Completed,DSNOWBALL,2020,{16976B41-E202-42A6-82C2-37D47F0015CD},0.0132989257585,4.09197499902e-06
137.011089500035,-35.8644140326272,39,124,46,Ops Plan 1,46,Eastgosseland Block 9,Kangaroo Island,Kangaroo Island,Flinders Chase (NP),2019/2020,AUTUMN,15.6,0,0,0, ,Operations Plan Withdrawn, , ,2020,{D1F76C7D-340B-4A3A-8210-6FBF491C52E1},0.017232689849,1.55880442604e-05
137.012032388508,-35.8867259088477,40,125,47,Ops Plan 1,47,Eastgosseland Block 10,Kangaroo Island,Kangaroo Island,Flinders Chase (NP),2019/2020,AUTUMN,13.5,0,0,0, ,Operations Plan Withdrawn, , ,2020,{CA38473F-5B6F-4A72-9B04-CFE3410D7362},0.029408181657,1.34995722867e-05
138.742830184988,-34.8367996493364,41,57,121,Ops Plan 1,121,Anstey Hill (Newmans Track) A20 B2,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Anstey Hill (RP),2019/2020,AUTUMN,42.7,42.7,32.1,0,DCRAWFORD,Post Burn Activities Completed,Completed,EMAPLETOFT,2020,{BFAB248A-B973-4583-953C-20BFA682F88E},0.0302808741027,3.16756003536e-05
138.59222801172,-35.0334220001309,42,23,136,Ops Plan 1,136,Sturt Gorge (Bushland Drive) S21 B2,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Sturt Gorge (RP),2019/2020,AUTUMN,8.8,8.8,7.6,0,AMARTON,Burn Safe,Safe,SSANDERSON,2020,{D713C5DB-728B-4B4D-9237-83C3B93A9AB5},0.0159744735752,7.53998767985e-06
138.914185061221,-34.6876690847182,43,20,117,Ops Plan 1,117,Hale (Warren Road) S20 B2,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Hale (CP),2019/2020,AUTUMN,31.3,0,0,0,TWITTWER,Operations Plan Postponed, ,SPARKER1,2020,{AE9154E2-8B1E-4B4E-9262-E5C8C5D7DC31},0.036972915771,3.08812273558e-05
140.493798618498,-35.8452529840114,44,790,579,Ops Plan 1,579,McCallum Block West,South Australian Murray-Darling Basin,Mallee and Coorong,Ngarkat (CP),2019/2020,AUTUMN,1583.1,1200,844.9,1,AMCLOUGHLIN,Post Burn Activities Completed,Completed,RPUDNEY,2020,{6EA20729-A596-408A-9E14-616C3724DEB5},0.993879886837,0.000843251422505
138.656451475717,-35.0172596312036,45,936,631,Ops Plan 5,631,Belair (Volunteer Centre),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Belair (NP),2020/2021,SPRING,1,0,0.7,0,JPITMAN,Operations Plan Withdrawn, ,DSNOWBALL,2020,{4A80902E-7DEA-4368-9872-30CBEE46D264},0.00467430178918,6.87918230315e-07
136.838315901484,-35.8308272235618,46,956,661,Ops Plan 1,661,Kurralinga,Kangaroo Island,Kangaroo Island,Ravine des Casoars (WA),2019/2020,AUTUMN,500,0,465.7,1, ,Operations Plan Retired, , ,2020,{D753623D-12F8-43FE-8E80-EDC2143A4E09},0.100125751947,0.000464707315013
138.765519139803,-34.9476324294879,47,885,616,Ops Plan 1,616,Basket Range Quarry (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2019/2020,AUTUMN,12.5,12.5,12.5,0,TGGROVES,Post Burn Activities Completed,Completed,EDESMIT,2020,{0BB2C767-9973-45B6-B19A-101E3799EFAE},0.0278080138864,1.23383406363e-05
138.759924301574,-34.9363161420072,48,841,514,Ops Plan 2,514,Basket Range - Crammond Rd (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2020/2021,SPRING,4.2,0,6.7,0, ,New Operations Plan, , ,2020,{C2ED8749-761F-4F1D-87BB-A03FF8D67E00},0.0183509694507,6.64127647664e-06
136.971864450462,-35.2465347671176,49,994,677,Ops Plan 1,677,Marion Bay,Northern & Yorke,Yorke,Marion Bay BoPL,2019/2020,AUTUMN,5.9,0,5.9,0, ,Operations Plan Postponed, , ,2020,{6957DAC8-4901-4029-9708-4539C5A53CFA},0.020318707111,5.84773164858e-06
140.32823884618,-35.8255374575297,50,1096,576,Ops Plan 4,576,Mt Rescue Block Nth,South Australian Murray-Darling Basin,Mallee and Coorong,Ngarkat (CP),2019/2020,AUTUMN,428.2,428.2,726.6,1,RPUDNEY,Post Burn Activities Completed,Completed,JPIPPOS,2020,{4CB8A8F8-3075-4475-85DA-564DC024CA43},0.280889975398,0.000724989945572
138.524103048022,-35.4398968024599,51,1128,144,Ops Plan 3,144,Spring Mount A24,Adelaide & Mt Lofty Ranges,Fleurieu and Willunga Basin,Spring Mount (CP),2020/2021,SPRING,14.6,0,14.6,0,LKERSLAKE,New Operations Plan, ,ITANNER,2020,{B7064336-17B0-4DBA-A87F-DC1173D90317},0.0159784451318,1.45171683078e-05
135.452116303782,-34.6402610438536,52,271,250,Ops Plan 1,250,Coffin Bay NP entrance east,Eyre Peninsula,Southern,Coffin Bay (NP),2019/2020,AUTUMN,70,0,147.2,0,AMACUMBER,Operations Plan Postponed,Completed,RSAERS,2020,{CFCBAAA8-1887-4583-9229-A0315ED975A1},0.0593122272748,0.000145114705455
